A,AAPL,ABBV,ABNB,ABT,ACGL,ACN,ADBE,ADI,ADM,ADP,ADSK,AEE,AEP,AES,AFL,AIG,AIZ,AJG,AKAM,ALB,ALGN,ALL,ALLE,AMAT,AMCR,AMD,AME,AMGN,AMP,AMT,AMZN,ANET,ANSS,AON,AOS,APA,APD,APH,APO,APTV,ARE,ATO,AVB,AVGO,AVY,AWK,AXON,AXP,AZO,BA,BAC,BALL,BAX,BBY,BDX,BF.B,BG,BIIB,BK,BKNG,BKR,BLDR,BLK,BMY,BR,BRK-B,BRK.B,BRO,BSX,BX,BXP,C,CAG,CAH,CARR,CAT,CB,CBOE,CBRE,CCL,CDNS,CDW,CEG,CF,CFG,CHD,CHRW,CHTR,CI,CINF,CL,CLX,CMCSA,CME,CMG,CMS,CNC,CNP,COF,COP,COR,COST,CPB,CPT,CRL,CRM,CSCO,CTAS,CTSH,CVX,CZR,DIS,ED,GOOG,GOOGL,HD,INTC,JNJ,JPM,KMX,KO,LNT,MA,MCD,META,MO,MRK,MSFT,NFLX,NKE,NVDA,PEP,PFE,PG,PYPL,SCHW,STZ,T,TECH,TSLA,V,VZ,WMT,XOM,^GSPC
147.61761474609375,123.63251495361328,147.7982177734375,84.9000015258789,104.29592895507812,59.39311981201172,261.8243713378906,336.9200134277344,156.0760040283203,83.63440704345703,226.18106079101562,185.14999389648438,82.3211669921875,86.7776870727539,25.73566436767578,68.08604431152344,59.83163833618164,122.34227752685547,183.35482788085938,84.97000122070312,208.2283477783203,212.27999877929688,129.26205444335938,104.3896255493164,94.88053894042969,10.658541679382324,64.0199966430664,138.460205078125,243.50079345703125,300.68359375,199.15518188476562,85.81999969482422,30.227500915527344,238.63999938964844,294.69793701171875,56.64753723144531,40.06407928466797,289.55126953125,37.40708923339844,60.327293395996094,92.94999694824219,129.9718017578125,104.9083251953125,149.26882934570312,53.236026763916016,176.33058166503906,146.8131561279297,168.24000549316406,142.4514923095703,2431.06005859375,195.38999938964844,31.4929141998291,50.383628845214844,47.94803237915039,72.4542007446289,247.0342254638672,,89.6679458618164,272.6300048828125,42.90492630004883,2010.231689453125,27.223514556884766,65.3499984741211,672.2747802734375,64.9855728149414,129.51959228515625,309.9100036621094,,55.82651138305664,46.0099983215332,71.07180786132812,57.97606658935547,41.89805603027344,35.074466705322266,73.3591079711914,40.47313690185547,228.4510955810547,213.53488159179688,124.5339126586914,78.44000244140625,7.96999979019165,159.63999938964844,174.76187133789062,80.21617889404297,77.78731536865234,35.463558197021484,79.9354248046875,85.01495361328125,341.5799865722656,309.08721923828125,97.92031860351562,74.62879943847656,132.19863891601562,33.22447204589844,153.1918182373047,27.42259979248047,59.196449279785156,79.73999786376953,27.779705047607422,89.12431335449219,105.27938842773438,160.67543029785156,436.833740234375,51.746280670166016,101.5774154663086,218.39999389648438,133.8211212158203,44.44624328613281,110.53155517578125,55.51119613647461,158.7371368408203,42.2599983215332,87.88430786132812,88.49601745605469,89.27714538574219,88.69595336914062,298.11700439453125,25.775142669677734,166.30369567871094,126.7098388671875,60.63999938964844,58.782371520996094,51.15641784667969,341.6680603027344,250.9137725830078,124.15485382080078,37.73527908325195,104.34091186523438,235.24005126953125,294.95001220703125,114.67710876464844,14.303278923034668,167.5106964111328,45.458892822265625,142.46470642089844,74.58000183105469,79.13780975341797,219.4674072265625,16.1575927734375,81.7190933227539,108.0999984741211,203.8522491455078,33.88559341430664,46.46152877807617,98.7132568359375,3824.139892578125
149.22132873535156,124.90770721435547,148.9906005859375,88.72000122070312,105.84732055664062,59.68790054321289,260.9330749511719,341.4100036621094,159.40025329589844,80.59315490722656,227.2469482421875,187.9600067138672,82.7584228515625,87.37225341796875,24.975770950317383,68.4094467163086,60.715850830078125,124.04307556152344,185.78311157226562,85.86000061035156,217.03317260742188,224.6300048828125,131.43756103515625,105.88228607177734,97.41118621826172,10.756900787353516,64.66000366210938,138.78541564941406,246.05076599121094,302.83233642578125,203.1722412109375,85.13999938964844,28.459999084472656,242.94000244140625,297.9458923339844,58.3204231262207,38.71391677856445,289.5700988769531,37.96036148071289,61.81602478027344,95.87999725341797,132.4790496826172,105.6064682006836,151.87525939941406,53.88622283935547,179.77613830566406,149.73800659179688,168.75999450683594,145.76296997070312,2445.4599609375,203.63999938964844,32.084991455078125,50.887760162353516,49.159889221191406,73.83280944824219,248.87600708007812,,89.13313293457031,270.80999755859375,43.961334228515625,2087.61572265625,26.4091739654541,66.66999816894531,681.5842895507812,65.30931854248047,131.55056762695312,314.54998779296875,,56.76270294189453,46.5,72.826904296875,58.05439376831055,42.977996826171875,34.91188049316406,73.61724853515625,40.88165283203125,230.8227996826172,217.04591369628906,122.70035552978516,79.72000122070312,8.739999771118164,159.22999572753906,176.3585205078125,81.6851577758789,78.22395324707031,36.468345642089844,80.68585205078125,85.50463104248047,354.0,298.3381652832031,100.1233139038086,75.10978698730469,133.55538940429688,34.17721176147461,154.21640014648438,27.520999908447266,60.03242111206055,79.45999908447266,27.864288330078125,91.83724975585938,105.4841079711914,159.2866668701172,439.9947814941406,51.681400299072266,103.47718048095703,221.92999267578125,138.5968780517578,44.4369010925293,109.26126098632812,55.96422576904297,157.04933166503906,45.38999938964844,90.85758209228516,89.2630615234375,88.29181671142578,87.66089630126953,301.721923828125,26.69120979309082,168.11428833007812,127.89142608642578,65.12000274658203,58.754356384277344,51.54445266723633,349.8945617675781,250.97076416015625,126.77251434326172,37.64408874511719,105.22340393066406,224.94985961914062,309.4100036621094,117.052734375,14.73692512512207,167.09986877441406,44.456783294677734,143.08505249023438,77.69000244140625,80.49958038330078,222.9001922607422,16.50246810913086,83.56082916259766,113.63999938964844,208.9832305908203,34.73865509033203,46.51329040527344,99.00057220458984,3852.969970703125
149.65419006347656,123.58309936523438,148.80856323242188,87.70999908447266,105.45711517333984,59.849552154541016,254.7716064453125,328.44000244140625,153.42428588867188,78.57809448242188,222.34567260742188,182.07000732421875,80.00477600097656,85.7806625366211,23.68486785888672,68.00996398925781,60.383079528808594,121.22763061523438,182.5519561767578,84.62000274658203,212.21817016601562,219.82000732421875,131.79696655273438,104.4380874633789,96.04777526855469,10.658541679382324,62.33000183105469,135.95745849609375,248.3494110107422,298.8349304199219,196.7987518310547,83.12000274658203,27.372499465942383,231.64999389648438,295.6133117675781,57.08979415893555,38.355709075927734,285.0649108886719,37.55397415161133,60.461761474609375,95.86000061035156,129.0157928466797,102.71015930175781,146.01541137695312,53.38414764404297,176.24395751953125,147.35621643066406,165.74000549316406,142.27484130859375,2416.570068359375,204.99000549316406,32.01921081542969,51.227073669433594,49.38534927368164,73.44536590576172,246.1952667236328,,87.425537109375,271.5899963378906,43.748207092285156,2121.7421875,27.270856857299805,66.51000213623047,662.0779418945312,65.19148254394531,128.0372772216797,312.8999938964844,,56.25025939941406,45.7599983215332,71.5012435913086,55.852657318115234,42.785804748535156,36.10421371459961,73.25395202636719,40.39531707763672,229.78997802734375,216.23342895507812,122.01030731201172,78.43000030517578,8.949999809265137,156.8000030517578,173.35025024414062,80.70582580566406,79.52436828613281,36.30686569213867,79.89644622802734,84.76068878173828,361.42999267578125,292.46368408203125,100.42457580566406,74.07235717773438,132.03140258789062,34.5414924621582,153.917236328125,27.283199310302734,58.7784538269043,77.26000213623047,27.234636306762695,90.09253692626953,108.6763916015625,159.4920654296875,433.85589599609375,52.03361129760742,100.65048217773438,220.0800018310547,135.37001037597656,43.81076431274414,106.72563934326172,55.49191665649414,159.87754821777344,42.470001220703125,90.79830169677734,88.06167602539062,86.36095428466797,85.78984832763672,297.70184326171875,26.575496673583984,166.87301635742188,127.86309051513672,63.34000015258789,58.082027435302734,50.01077651977539,346.5646057128906,248.85394287109375,126.34453582763672,37.61092758178711,106.6879653930664,218.28286743164062,309.70001220703125,116.48297119140625,14.253320693969727,165.35391235351562,44.03997802734375,141.30860900878906,76.2699966430664,80.26781463623047,201.22341918945312,16.562822341918945,81.48146057128906,110.33999633789062,207.50877380371094,35.22008514404297,46.35475158691406,101.21561431884766,3808.10009765625
145.28587341308594,128.13023376464844,151.59375,88.5199966430664,106.91332244873047,60.76241683959961,260.8071594238281,332.75,159.0255584716797,80.18267059326172,228.56031799316406,187.19000244140625,82.16304016113281,88.29608917236328,24.19756507873535,70.23572540283203,61.371883392333984,123.56261444091797,188.01559448242188,85.8499984741211,215.15960693359375,220.77000427246094,133.71707153320312,107.99528503417969,102.2763671875,10.908909797668457,63.959999084472656,141.7315673828125,256.1109619140625,310.9625549316406,202.7083740234375,86.08000183105469,28.112499237060547,239.41000366210938,302.48321533203125,59.070335388183594,39.39360046386719,292.9608459472656,38.469566345214844,61.7872200012207,98.30999755859375,133.119384765625,106.16309356689453,151.23748779296875,56.597660064697266,181.23910522460938,150.7764434814453,170.89999389648438,145.9087371826172,2486.639892578125,213.0,32.3387451171875,52.60373306274414,45.51493835449219,74.82398986816406,250.08139038085938,,90.65309143066406,279.25,44.43394470214844,2155.681396484375,28.36927032470703,67.23999786376953,696.7849731445312,66.17045593261719,131.96446228027344,318.69000244140625,,57.97482681274414,46.33000183105469,73.9565200805664,58.35028076171875,43.29832077026367,36.99845504760742,75.18519592285156,41.951602935791016,237.99537658691406,221.3597412109375,121.73428344726562,80.91999816894531,9.199999809265137,159.66000366210938,178.37379455566406,81.7732925415039,80.12236022949219,37.356502532958984,81.46550750732422,87.86825561523438,367.7300109863281,291.01190185546875,103.31483459472656,75.4304428100586,134.22447204589844,35.3914794921875,158.75912475585938,28.041200637817383,59.85594940185547,78.66000366210938,28.18381118774414,93.0547103881836,110.03520202636719,162.06419372558594,465.35015869140625,52.83995819091797,104.62437438964844,219.83999633789062,139.51034545898438,45.156494140625,108.7959976196289,57.59321975708008,161.08181762695312,44.11000061035156,92.7739028930664,90.40900421142578,87.74440002441406,86.9244155883789,299.64581298828125,27.703699111938477,168.2262725830078,130.309814453125,65.77999877929688,59.20258331298828,51.137939453125,362.8171691894531,255.79287719726562,129.4100799560547,38.506229400634766,107.81456756591797,220.8553924560547,315.54998779296875,120.25886535644531,14.846835136413574,169.08859252929688,45.157371520996094,144.6735076904297,76.4800033569336,81.64889526367188,206.5751190185547,16.838727951049805,81.70919799804688,113.05999755859375,214.03553771972656,35.633934020996094,47.490413665771484,102.43898010253906,3895.080078125
145.08912658691406,128.6541290283203,147.1428985595703,89.23999786376953,106.74200439453125,59.59280776977539,265.2054443359375,341.9800109863281,160.54356384277344,79.6416015625,227.9416961669922,192.47000122070312,83.17706298828125,89.59496307373047,24.94830322265625,67.96238708496094,60.7253532409668,120.21867370605469,187.76100158691406,86.87999725341797,217.45059204101562,227.6699981689453,132.43069458007812,108.81915283203125,104.45391082763672,10.908909797668457,67.23999786376953,140.4112091064453,251.38328552246094,310.90447998046875,203.45054626464844,87.36000061035156,28.717500686645508,247.99000549316406,301.4989318847656,59.11841583251953,39.8344612121582,294.36810302734375,38.73886489868164,62.738067626953125,97.9800033569336,132.20849609375,107.35179901123047,150.16537475585938,55.487693786621094,182.36514282226562,150.9479522705078,177.4499969482422,146.13217163085938,2441.75,208.57000732421875,31.850040435791016,53.873741149902344,41.992103576660156,73.9409408569336,243.43736267089844,,91.98539733886719,274.7200012207031,44.61000442504883,2184.52587890625,28.918476104736328,67.05000305175781,710.9378662109375,64.36662292480469,133.4660186767578,315.5299987792969,,57.98468017578125,45.59000015258789,75.22615814208984,57.192848205566406,43.50882339477539,36.51068878173828,74.16219329833984,42.311492919921875,235.8531494140625,216.18507385253906,120.44290924072266,81.76000213623047,9.470000267028809,165.9199981689453,179.09417724609375,82.26295471191406,81.63159942626953,36.87205123901367,80.15958404541016,87.91533660888672,367.17999267578125,291.3580322265625,102.32630157470703,74.2515640258789,132.5703887939453,35.07390594482422,159.40292358398438,28.934799194335938,60.3668212890625,77.58999633789062,28.634902954101562,93.41899108886719,109.22550201416016,161.34048461914062,461.379638671875,51.857505798339844,103.7157974243164,227.75,146.05348205566406,45.39946746826172,108.64089965820312,58.66316223144531,159.82278442382812,43.5,93.613525390625,90.3073501586914,88.38137817382812,87.6011734008789,299.9100341796875,28.262981414794922,163.86781311035156,129.77134704589844,67.06999969482422,58.46487808227539,51.221092224121094,366.0736083984375,253.6855926513672,128.86265563964844,38.116607666015625,103.62739562988281,223.0057373046875,315.1700134277344,120.56790161132812,15.615205764770508,167.43600463867188,42.9136962890625,142.90647888183594,77.08000183105469,82.50845336914062,207.80938720703125,16.653301239013672,83.11524963378906,119.7699966430664,214.87106323242188,35.49066162109375,46.8983039855957,100.52978515625,3892.090087890625
152.72384643554688,129.2274932861328,145.30429077148438,88.54000091552734,108.36002349853516,59.97317123413086,266.3486022949219,338.70001220703125,162.58038330078125,80.44388580322266,229.15037536621094,193.42999267578125,82.90727996826172,88.98211669921875,24.92999267578125,68.48554992675781,60.32603073120117,121.57353973388672,188.6618194580078,87.38999938964844,217.353515625,232.25,133.61302185058594,108.59622955322266,105.97428131103516,10.837377548217773,68.05000305175781,140.71664428710938,254.88247680664062,309.5010681152344,205.90899658203125,89.87000274658203,28.8075008392334,248.39999389648438,302.48321533203125,57.55127716064453,39.71506118774414,295.3125915527344,38.82699203491211,63.89064407348633,99.63999938964844,133.17352294921875,107.83294677734375,150.64599609375,55.29917907714844,182.60572814941406,153.16778564453125,179.3300018310547,147.686767578125,2435.52001953125,206.69000244140625,32.066200256347656,54.377864837646484,42.96910095214844,75.93228149414062,246.25315856933594,,91.48812866210938,281.4599914550781,44.489540100097656,2196.930419921875,29.230953216552734,67.33999633789062,714.9884033203125,64.94676208496094,133.82217407226562,316.3500061035156,,58.99970245361328,46.060001373291016,75.17947387695312,58.64616012573242,44.103702545166016,36.528751373291016,74.6976089477539,42.79783248901367,239.57333374023438,217.40377807617188,120.74850463867188,82.7300033569336,9.680000305175781,164.32000732421875,181.45018005371094,81.36198425292969,78.78399658203125,37.015594482421875,79.22398376464844,87.38799285888672,374.6400146484375,292.0791015625,104.03974914550781,73.85545349121094,131.00918579101562,35.38214874267578,160.94436645507812,29.028600692749023,60.27393341064453,76.12000274658203,28.719478607177734,94.42556762695312,109.89559936523438,163.58009338378906,463.9335021972656,51.90385055541992,104.06454467773438,234.1300048828125,146.39105224609375,45.614410400390625,109.54191589355469,59.00052261352539,160.607421875,45.29999923706055,94.39389038085938,90.6492691040039,88.8193130493164,87.99927520751953,302.5711975097656,28.388336181640625,163.47581481933594,130.93328857421875,67.38999938964844,58.01666259765625,50.78685760498047,366.1131286621094,255.26133728027344,132.36614990234375,38.124900817871094,104.03108978271484,224.7043914794922,327.5400085449219,121.52393341064453,15.895974159240723,166.05418395996094,42.23084259033203,142.76548767089844,77.91999816894531,82.69197082519531,212.13894653320312,17.029401779174805,85.68971252441406,118.8499984741211,217.31854248046875,35.98823547363281,46.86919403076172,102.03118133544922,3919.25
155.61636352539062,131.95574951171875,143.0560760498047,94.44000244140625,107.69378662109375,59.76396942138672,273.4205017089844,342.92999267578125,163.12799072265625,80.86369323730469,233.21414184570312,199.92999267578125,84.3027114868164,89.30226135253906,25.387758255004883,68.39995574951172,60.335540771484375,121.64080810546875,191.67758178710938,88.7300033569336,229.64334106445312,234.16000366210938,130.7470703125,110.60260009765625,107.95565032958984,10.891027450561523,69.05999755859375,143.3475341796875,253.97975158691406,319.392822265625,211.6331024169922,95.08999633789062,29.082500457763672,252.16000366210938,307.2665710449219,60.16637420654297,40.24778747558594,295.40704345703125,39.50267028808594,65.00479888916016,99.27999877929688,138.62095642089844,110.12545013427734,157.01416015625,55.607933044433594,185.35836791992188,153.7870330810547,181.42999267578125,149.5522918701172,2433.22998046875,208.02999877929688,32.31055450439453,54.6880989074707,42.68728256225586,77.35595703125,247.00527954101562,,92.37946319580078,285.0299987792969,44.64707946777344,2200.748779296875,29.193077087402344,68.77999877929688,713.704345703125,65.20962524414062,138.19212341308594,320.3699951171875,,60.793243408203125,45.810001373291016,77.55070495605469,60.70865249633789,44.5796012878418,36.601016998291016,73.1583251953125,43.955322265625,239.7837371826172,217.2490234375,121.67513275146484,84.83000183105469,9.859999656677246,168.47000122070312,185.5391387939453,82.37067413330078,79.78065490722656,37.20399475097656,79.64305877685547,89.44084930419922,378.42999267578125,297.3094787597656,103.45604705810547,72.74256134033203,131.91058349609375,35.44752883911133,159.25782775878906,29.584199905395508,60.73836135864258,78.44000244140625,29.27394676208496,97.57948303222656,110.04450225830078,161.751220703125,466.7379150390625,51.5609130859375,108.55237579345703,246.94000244140625,143.86911010742188,45.98822021484375,111.75505828857422,59.28005599975586,159.84104919433594,45.83000183105469,95.15449523925781,91.12982177734375,91.82508087158203,91.08452606201172,310.4698181152344,28.783695220947266,163.2144775390625,131.90635681152344,67.43000030517578,57.904598236083984,51.683040618896484,372.8727111816406,255.16639709472656,132.26663208007812,37.983978271484375,104.27517700195312,231.4990234375,327.260009765625,123.55191040039062,15.987898826599121,166.24087524414062,42.080078125,141.60935974121094,78.54000091552734,80.56719207763672,214.68460083007812,16.976919174194336,85.7689208984375,123.22000122070312,218.31130981445312,35.327674865722656,47.28009796142578,103.21749877929688,3969.610107421875
153.9635009765625,131.8766632080078,139.86769104003906,98.48999786376953,106.4699935913086,59.97317123413086,276.1052551269531,344.5400085449219,162.05194091796875,81.52603149414062,232.4622802734375,199.9600067138672,83.49334716796875,88.18633270263672,25.35114288330078,68.29530334472656,60.54471206665039,121.0738754272461,190.9236297607422,88.63999938964844,236.0989227294922,235.5800018310547,129.64988708496094,110.02103424072266,108.09297180175781,10.908909797668457,70.80000305175781,143.41650390625,252.1278533935547,320.5349426269531,215.42752075195312,95.2699966430664,29.295000076293945,251.97000122070312,310.8885192871094,59.03188705444336,41.653053283691406,292.9891357421875,39.610389709472656,65.73475646972656,101.66999816894531,140.58709716796875,109.79525756835938,157.37461853027344,55.973426818847656,185.7337188720703,151.881591796875,184.0800018310547,150.52392578125,2363.0,214.32000732421875,32.39512634277344,55.405513763427734,42.358482360839844,77.85154724121094,245.51063537597656,,94.33100128173828,288.0799865722656,44.628543853759766,2232.36328125,29.82750129699707,70.22000122070312,711.8538208007812,64.90142822265625,139.5589141845703,318.92999267578125,,60.76368713378906,46.709999084472656,79.40848541259766,61.97921371459961,44.92737579345703,36.24873352050781,73.1583251953125,44.01367950439453,243.93426513671875,218.20660400390625,122.01030731201172,85.62999725341797,10.279999732971191,168.05999755859375,188.27474975585938,82.59591674804688,81.92584228515625,37.52696228027344,79.32144927978516,88.04715728759766,385.4700012207031,298.26123046875,101.61080932617188,72.46905517578125,132.7190704345703,36.138736724853516,160.22802734375,30.249399185180664,59.76305389404297,78.18000030517578,29.19876480102539,96.84132385253906,111.8314208984375,161.27200317382812,464.9261169433594,50.72673416137695,108.59827423095703,232.25,148.53567504882812,45.79196548461914,109.85210418701172,62.750099182128906,161.55625915527344,47.209999084472656,98.59203338623047,90.13175201416016,91.47673034667969,90.69638061523438,311.2908020019531,29.20797348022461,162.39320373535156,131.77406311035156,66.87999725341797,57.157569885253906,51.55369186401367,374.79693603515625,253.1540069580078,136.0687255859375,37.63580322265625,104.93236541748047,234.18939208984375,330.1300048828125,123.50362396240234,16.497480392456055,164.12144470214844,42.31065368652344,140.8104248046875,79.77999877929688,80.62513732910156,215.21498107910156,16.976919174194336,81.36264038085938,123.55999755859375,219.8053741455078,35.868141174316406,46.85301208496094,104.93206024169922,3983.169921875
154.3865509033203,133.21115112304688,141.13568115234375,100.37000274658203,108.52557373046875,60.62928771972656,274.4516296386719,344.3800048828125,162.3497772216797,82.4682846069336,233.5091552734375,200.58999633789062,83.86546325683594,86.750244140625,25.506778717041016,69.29405975341797,61.23876953125,123.71636199951172,192.45111083984375,88.69999694824219,235.14756774902344,239.75999450683594,131.4469757080078,110.26335144042969,107.86737823486328,10.846319198608398,71.0,143.98797607421875,252.8816375732422,322.48040771484375,215.984130859375,98.12000274658203,28.75,254.10000610351562,312.16802978515625,59.73373031616211,41.643863677978516,294.11309814453125,39.35089111328125,66.95455169677734,101.55000305175781,140.30747985839844,108.24803924560547,155.13790893554688,55.690643310546875,188.00509643554688,151.3576202392578,188.1300048828125,151.34007263183594,2368.8798828125,214.1300048828125,33.109378814697266,55.376426696777344,42.123626708984375,77.29289245605469,246.7159881591797,,94.21841430664062,288.0400085449219,45.434749603271484,2276.451416015625,29.950599670410156,71.93000030517578,711.8821411132812,65.7262954711914,138.71188354492188,317.6400146484375,,60.37934875488281,46.529998779296875,79.38983154296875,61.96181106567383,45.6870002746582,36.050018310546875,73.49295806884766,44.616737365722656,247.17623901367188,219.74449157714844,122.7200698852539,86.11000061035156,10.510000228881836,169.25999450683594,189.6961669921875,83.39896392822266,82.4953842163086,37.42827606201172,79.8282241821289,88.16957092285156,388.4700012207031,302.0974426269531,102.38279724121094,73.42160034179688,135.77638244628906,36.36290740966797,159.2397003173828,30.49139976501465,59.3729362487793,77.04000091552734,29.42430877685547,98.59561920166016,113.05062103271484,160.6656494140625,467.6438293457031,50.939918518066406,108.24951171875,232.6199951171875,148.44631958007812,45.67982482910156,110.51432037353516,61.74763870239258,161.99417114257812,48.369998931884766,98.1870346069336,89.17063903808594,92.36253356933594,91.68167877197266,312.5552673339844,29.03440284729004,161.86122131347656,135.09934997558594,65.0,57.36300277709961,51.285762786865234,370.5635986328125,255.24232482910156,136.33743286132812,37.81817626953125,105.38299560546875,234.89633178710938,332.82000732421875,124.43070983886719,16.885162353515625,163.6172637939453,42.43480682373047,141.816162109375,79.4800033569336,80.14225006103516,216.9602813720703,17.0993709564209,80.05559539794922,122.4000015258789,219.2549285888672,35.911033630371094,47.00831604003906,104.86719512939453,3999.090087890625
152.8910675048828,134.3776092529297,140.42816162109375,101.2699966430664,108.41084289550781,60.857505798339844,277.116943359375,344.3800048828125,160.36102294921875,82.17906188964844,225.34356689453125,200.6999969482422,83.0188980102539,86.76853942871094,25.26874351501465,68.9040756225586,60.63978958129883,122.99569702148438,191.5698699951172,88.87999725341797,235.9630126953125,246.0399932861328,128.1837615966797,109.32318115234375,107.31808471679688,10.864201545715332,71.58999633789062,142.510009765625,250.73184204101562,325.4808349609375,214.35134887695312,96.05000305175781,29.075000762939453,252.67999267578125,311.941650390625,57.714717864990234,41.460174560546875,289.37176513671875,39.507568359375,66.35904693603516,102.55000305175781,140.83961486816406,107.50273132324219,157.1343231201172,55.7137336730957,186.24383544921875,149.80470275878906,184.47000122070312,149.38710021972656,2355.8798828125,211.41000366210938,32.4421272277832,55.221309661865234,42.02968978881836,76.06744384765625,246.8606414794922,,94.95024871826172,289.5899963378906,46.037086486816406,2308.77783203125,29.80856704711914,71.73999786376953,707.8599243164062,65.54499816894531,139.70330810546875,314.8599853515625,,60.29066467285156,46.040000915527344,80.17401123046875,62.48396301269531,46.0439338684082,36.158409118652344,73.0627212524414,44.18875503540039,245.0723114013672,217.26837158203125,121.8624496459961,84.69999694824219,10.880000114440918,172.97000122070312,192.39288330078125,81.64598083496094,81.63159942626953,36.6208610534668,82.56681823730469,87.27497100830078,388.3500061035156,302.85699462890625,99.97268676757812,73.77999877929688,137.52342224121094,36.37224197387695,159.5751953125,31.030799865722656,58.964237213134766,76.73999786376953,29.20816421508789,99.34335327148438,111.90587615966797,160.54827880859375,469.108642578125,50.66185760498047,108.05677795410156,236.52999877929688,147.41371154785156,44.93220520019531,109.519775390625,60.687355041503906,164.66732788085938,48.279998779296875,98.69081115722656,88.24649810791016,91.72555541992188,90.85562896728516,309.0825500488281,28.542619705200195,160.86260986328125,133.01162719726562,67.44000244140625,57.59645080566406,50.88848876953125,370.0504455566406,260.1973571777344,134.72503662109375,37.43684387207031,103.693115234375,235.99609375,326.2200012207031,123.74505615234375,17.68750762939453,164.38287353515625,40.86511993408203,141.40260314941406,80.18000030517578,80.63479614257812,215.7838897705078,16.906949996948242,80.05559539794922,131.49000549316406,219.19598388671875,35.0445671081543,46.723594665527344,104.66329193115234,3990.969970703125
